Дата,Регион,Значение
2019-12-01,Россия,56.00
2019-12-01,Адыгея,50.00
2019-12-01,Алтайский край,63.00
2019-12-01,Амурская область,71.00
2019-12-01,Архангельская область,57.00
2019-12-01,Астраханская область,59.00
2019-12-01,Белгородская область,60.00
2019-12-01,Брянская область,58.00
2019-12-01,Владимирская область,55.00
2019-12-01,Волгоградская область,58.00
2019-12-01,Вологодская область,54.00
2019-12-01,Воронежская область,61.00
2019-12-01,Забайкальский край,53.00
2019-12-01,Ивановская область,53.00
2019-12-01,Иркутская область,61.00
2019-12-01,Кабардино-Балкарская Республика,45.00
2019-12-01,Калининградская область,64.00
2019-12-01,Калужская область,59.00
2019-12-01,Камчатский край,62.00
2019-12-01,Кемеровская область,58.00
2019-12-01,Кировская область,57.00
2019-12-01,Костромская область,52.00
2019-12-01,Краснодарский край,55.00
2019-12-01,Красноярский край,58.00
2019-12-01,Курганская область,52.00
2019-12-01,Курская область,52.00
2019-12-01,Липецкая область,49.00
2019-12-01,Магаданская область,48.00
2019-12-01,Мордовия,61.00
2019-12-01,Москва,69.00
2019-12-01,Московская область,59.00
2019-12-01,Мурманская область,60.00
2019-12-01,Нижегородская область,62.00
2019-12-01,Новгородская область,54.00
2019-12-01,Новосибирская область,58.00
2019-12-01,Омская область,68.00
2019-12-01,Оренбургская область,62.00
2019-12-01,Орловская область,55.00
2019-12-01,Пензенская область,58.00
2019-12-01,Пермский край,50.00
2019-12-01,Приморский край,60.00
2019-12-01,Псковская область,55.00
2019-12-01,Республика Башкортостан,61.00
2019-12-01,Республика Бурятия,61.00
2019-12-01,Республика Дагестан,50.00
2019-12-01,Республика Калмыкия,49.00
2019-12-01,Республика Карачаево-Черкессия,45.00
2019-12-01,Республика Карелия,56.00
2019-12-01,Республика Коми,52.00
2019-12-01,Республика Марий Эл,55.00
2019-12-01,Республика Саха (Якутия),55.00
2019-12-01,Республика Северная Осетия-Алания,51.00
2019-12-01,Республика Татарстан,59.00
2019-12-01,Республика Тыва,47.00
2019-12-01,Республика Хакасия,50.00
2019-12-01,Ростовская область,58.00
2019-12-01,Рязанская область,59.00
2019-12-01,Самарская область,55.00
2019-12-01,Санкт-Петербург,66.00
2019-12-01,Саратовская область,60.00
2019-12-01,Сахалинская область,59.00
2019-12-01,Свердловская область,63.00
2019-12-01,Смоленская область,59.00
2019-12-01,Ставропольский край,54.00
2019-12-01,Тамбовская область,56.00
2019-12-01,Тверская область,56.00
2019-12-01,Томская область,55.00
2019-12-01,Тульская область,55.00
2019-12-01,Тюменская область,67.00
2019-12-01,Удмуртская Республика,51.00
2019-12-01,Ульяновская область,53.00
2019-12-01,Хабаровский край,67.00
2019-12-01,Ханты-Мансийский АО - Югра,61.00
2019-12-01,Челябинская область,59.00
2019-12-01,Чувашская Республика,53.00
2019-12-01,Ямало-Ненецкий АО,66.00
2019-12-01,Ярославская область,60.00
2019-12-02,Россия,61.00
2019-12-02,Адыгея,54.00
2019-12-02,Алтайский край,70.00
2019-12-02,Амурская область,71.00
