Дата;Регион;Значение
2019-01-01;Россия;16.30
2019-01-01;Адыгея;39.46
2019-01-01;Алтай;25.19
2019-01-01;Алтайский край;13.25
2019-01-01;Амурская область;42.18
2019-01-01;Архангельская область;1.22
2019-01-01;Астраханская область;10.61
2019-01-01;Белгородская область;10.59
2019-01-01;Брянская область;0.01
2019-01-01;Владимирская область;18.10
2019-01-01;Волгоградская область;3.41
2019-01-01;Вологодская область;11.95
2019-01-01;Воронежская область;6.05
2019-01-01;Еврейская автономная область;5.35
2019-01-01;Забайкальский край;-3.17
2019-01-01;Ивановская область;19.61
2019-01-01;Иркутская область;5.62
2019-01-01;Кабардино-Балкарская Республика;11.99
2019-01-01;Калининградская область;35.22
2019-01-01;Калужская область;22.80
2019-01-01;Камчатский край;-1.10
2019-01-01;Кемеровская область;9.06
2019-01-01;Кировская область;18.39
2019-01-01;Костромская область;22.09
2019-01-01;Краснодарский край;27.36
2019-01-01;Красноярский край;13.14
2019-01-01;Курганская область;16.10
2019-01-01;Курская область;7.66
2019-01-01;Ленинградская область;17.79
2019-01-01;Липецкая область;8.36
2019-01-01;Магаданская область;-7.56
2019-01-01;Мордовия;15.02
2019-01-01;Москва;29.18
2019-01-01;Московская область;29.18
2019-01-01;Мурманская область;-3.92
2019-01-01;Нижегородская область;9.65
2019-01-01;Новгородская область;3.20
2019-01-01;Новосибирская область;18.12
2019-01-01;Омская область;8.52
2019-01-01;Оренбургская область;-5.95
2019-01-01;Орловская область;12.84
2019-01-01;Пензенская область;9.99
2019-01-01;Пермский край;7.15
2019-01-01;Приморский край;14.85
2019-01-01;Псковская область;12.61
2019-01-01;Республика Башкортостан;13.34
2019-01-01;Республика Бурятия;-17.55
2019-01-01;Республика Дагестан;2.98
2019-01-01;Республика Ингушетия;61.00
2019-01-01;Республика Калмыкия;12.37
2019-01-01;Республика Карачаево-Черкессия;51.29
2019-01-01;Республика Карелия;17.22
2019-01-01;Республика Коми;1.88
2019-01-01;Республика Марий Эл;21.24
2019-01-01;Республика Саха (Якутия);15.02
2019-01-01;Республика Северная Осетия-Алания;14.50
2019-01-01;Республика Татарстан;19.76
2019-01-01;Республика Тыва;0.66
2019-01-01;Республика Хакасия;8.27
2019-01-01;Ростовская область;8.76
2019-01-01;Рязанская область;21.01
2019-01-01;Самарская область;7.21
2019-01-01;Санкт-Петербург;17.79
2019-01-01;Саратовская область;-4.67
2019-01-01;Сахалинская область;-9.73
2019-01-01;Свердловская область;12.42
2019-01-01;Смоленская область;6.32
2019-01-01;Ставропольский край;11.42
2019-01-01;Тамбовская область;11.64
2019-01-01;Тверская область;12.90
2019-01-01;Томская область;14.02
2019-01-01;Тульская область;7.88
2019-01-01;Тюменская область;7.11
2019-01-01;Удмуртская Республика;9.03
2019-01-01;Ульяновская область;12.72
2019-01-01;Хабаровский край;10.59
2019-01-01;Ханты-Мансийский АО - Югра;7.11
2019-01-01;Челябинская область;11.20
2019-01-01;Чеченская Республика;41.11
2019-01-01;Чувашская Республика;30.00
2019-01-01;Чукотский АО;-11.75
2019-01-01;Ямало-Ненецкий АО;7.11
2019-01-01;Ярославская область;24.10
2019-02-01;Россия;20.83
2019-02-01;Адыгея;34.70
2019-02-01;Алтай;9.60
2019-02-01;Алтайский край;11.73
2019-02-01;Амурская область;35.28
2019-02-01;Архангельская область;10.91
2019-02-01;Астраханская область;13.51
2019-02-01;Белгородская область;14.02
2019-02-01;Брянская область;-3.08
2019-02-01;Владимирская область;13.40
2019-02-01;Волгоградская область;9.83
2019-02-01;Вологодская область;19.75
2019-02-01;Воронежская область;22.92
2019-02-01;Еврейская автономная область;17.90
2019-02-01;Забайкальский край;6.14
2019-02-01;Ивановская область;29.09
2019-02-01;Иркутская область;8.44
2019-02-01;Кабардино-Балкарская Республика;12.40
2019-02-01;Калининградская область;30.27
2019-02-01;Калужская область;20.49
2019-02-01;Камчатский край;10.83
2019-02-01;Кемеровская область;-3.91
2019-02-01;Кировская область;22.04
2019-02-01;Костромская область;15.95
2019-02-01;Краснодарский край;27.90
2019-02-01;Красноярский край;19.59
2019-02-01;Курганская область;23.79
2019-02-01;Курская область;15.48
2019-02-01;Ленинградская область;23.63
2019-02-01;Липецкая область;16.03
2019-02-01;Магаданская область;0.23
2019-02-01;Мордовия;14.82
2019-02-01;Москва;37.22
2019-02-01;Московская область;37.22
2019-02-01;Мурманская область;3.87
2019-02-01;Нижегородская область;15.55
2019-02-01;Новгородская область;-4.90
2019-02-01;Новосибирская область;14.98
2019-02-01;Омская область;26.62
2019-02-01;Оренбургская область;-1.90
2019-02-01;Орловская область;9.58
2019-02-01;Пензенская область;23.92
2019-02-01;Пермский край;12.43
2019-02-01;Приморский край;19.08
2019-02-01;Псковская область;22.37
2019-02-01;Республика Башкортостан;11.05
2019-02-01;Республика Бурятия;-5.83
2019-02-01;Республика Дагестан;24.55
2019-02-01;Республика Ингушетия;97.28
2019-02-01;Республика Калмыкия;26.07
2019-02-01;Республика Карачаево-Черкессия;56.31
2019-02-01;Республика Карелия;16.53
2019-02-01;Республика Коми;2.91
2019-02-01;Республика Марий Эл;32.78
2019-02-01;Республика Саха (Якутия);16.77
2019-02-01;Республика Северная Осетия-Алания;41.80
2019-02-01;Республика Татарстан;25.78
2019-02-01;Республика Тыва;2.09
2019-02-01;Республика Хакасия;7.83
2019-02-01;Ростовская область;18.39
2019-02-01;Рязанская область;33.69
2019-02-01;Самарская область;15.83
2019-02-01;Санкт-Петербург;23.63
2019-02-01;Саратовская область;-9.50
2019-02-01;Сахалинская область;-12.20
2019-02-01;Свердловская область;17.93
2019-02-01;Смоленская область;8.31
2019-02-01;Ставропольский край;20.14
2019-02-01;Тамбовская область;18.53
2019-02-01;Тверская область;12.09
2019-02-01;Томская область;6.31
2019-02-01;Тульская область;7.78
2019-02-01;Тюменская область;10.47
2019-02-01;Удмуртская Республика;10.60
2019-02-01;Ульяновская область;17.22
2019-02-01;Хабаровский край;8.11
2019-02-01;Ханты-Мансийский АО - Югра;10.47
2019-02-01;Челябинская область;10.90
2019-02-01;Чеченская Республика;39.62
2019-02-01;Чувашская Республика;21.72
2019-02-01;Чукотский АО;-15.67
2019-02-01;Ямало-Ненецкий АО;10.47
2019-02-01;Ярославская область;36.24
2019-03-01;Россия;22.21
2019-03-01;Адыгея;35.07
2019-03-01;Алтай;27.00
2019-03-01;Алтайский край;17.54
2019-03-01;Амурская область;27.43
2019-03-01;Архангельская область;13.20
2019-03-01;Астраханская область;14.39
2019-03-01;Белгородская область;20.37
2019-03-01;Брянская область;-2.05
2019-03-01;Владимирская область;18.75
2019-03-01;Волгоградская область;12.38
2019-03-01;Вологодская область;20.32
2019-03-01;Воронежская область;29.94
2019-03-01;Еврейская автономная область;15.52
2019-03-01;Забайкальский край;5.22
2019-03-01;Ивановская область;27.53
2019-03-01;Иркутская область;16.72
2019-03-01;Кабардино-Балкарская Республика;10.33
2019-03-01;Калининградская область;38.50
2019-03-01;Калужская область;22.59
2019-03-01;Камчатский край;3.72
2019-03-01;Кемеровская область;12.95
2019-03-01;Кировская область;27.14
2019-03-01;Костромская область;21.88
2019-03-01;Краснодарский край;33.88
2019-03-01;Красноярский край;29.69
2019-03-01;Курганская область;30.86
2019-03-01;Курская область;25.89
2019-03-01;Ленинградская область;23.77
2019-03-01;Липецкая область;22.52
2019-03-01;Магаданская область;-0.35
2019-03-01;Мордовия;27.05
2019-03-01;Москва;29.63
2019-03-01;Московская область;29.63
2019-03-01;Мурманская область;-2.25
2019-03-01;Нижегородская область;16.65
2019-03-01;Новгородская область;-2.21
2019-03-01;Новосибирская область;25.37
2019-03-01;Омская область;24.07
2019-03-01;Оренбургская область;11.53
2019-03-01;Орловская область;9.94
2019-03-01;Пензенская область;25.52
2019-03-01;Пермский край;18.20
2019-03-01;Приморский край;26.06
2019-03-01;Псковская область;27.18
2019-03-01;Республика Башкортостан;5.71
2019-03-01;Республика Бурятия;21.90
2019-03-01;Республика Дагестан;17.98
2019-03-01;Республика Ингушетия;107.73
2019-03-01;Республика Калмыкия;30.64
2019-03-01;Республика Карачаево-Черкессия;62.07
2019-03-01;Республика Карелия;15.39
2019-03-01;Республика Коми;9.23
2019-03-01;Республика Марий Эл;28.42
2019-03-01;Республика Саха (Якутия);30.02
2019-03-01;Республика Северная Осетия-Алания;46.92
2019-03-01;Республика Татарстан;19.23
2019-03-01;Республика Тыва;26.60
2019-03-01;Республика Хакасия;25.22
2019-03-01;Ростовская область;16.53
2019-03-01;Рязанская область;33.92
2019-03-01;Самарская область;13.09
2019-03-01;Санкт-Петербург;23.77
2019-03-01;Саратовская область;6.34
2019-03-01;Сахалинская область;-15.71
2019-03-01;Свердловская область;26.07
2019-03-01;Смоленская область;11.65
2019-03-01;Ставропольский край;21.56
2019-03-01;Тамбовская область;18.09
2019-03-01;Тверская область;19.57
2019-03-01;Томская область;20.44
2019-03-01;Тульская область;10.87
2019-03-01;Тюменская область;10.86
2019-03-01;Удмуртская Республика;13.35
2019-03-01;Ульяновская область;21.60
2019-03-01;Хабаровский край;12.37
2019-03-01;Ханты-Мансийский АО - Югра;10.86
2019-03-01;Челябинская область;10.49
2019-03-01;Чеченская Республика;53.36
2019-03-01;Чувашская Республика;34.13
2019-03-01;Чукотский АО;-15.51
2019-03-01;Ямало-Ненецкий АО;10.86
2019-03-01;Ярославская область;28.27
2019-04-01;Россия;20.21
2019-04-01;Адыгея;32.92
2019-04-01;Алтай;10.50
2019-04-01;Алтайский край;13.49
2019-04-01;Амурская область;22.11
2019-04-01;Архангельская область;25.49
2019-04-01;Астраханская область;6.73
2019-04-01;Белгородская область;17.94
2019-04-01;Брянская область;-9.81
2019-04-01;Владимирская область;24.94
2019-04-01;Волгоградская область;9.19
2019-04-01;Вологодская область;10.16
2019-04-01;Воронежская область;26.07
2019-04-01;Еврейская автономная область;15.04
