"","Регион","Месяц","Квартал","Индекс потребительской активности","Доля безналичных платежей","Количество внутренних туристов","Всего одобренных заявок","Доля онлайн-заявок","Доля заявок в офисе банка","Всего ипотечных сделок","Доля сделок, первичка","Доля сделок, вторичка","Среднемесячная заработная плата","Число активных абонентов беспроводного доступа к сети","Уровень безработицы населения"
"1","Адыгея","Январь","Квартал 1",50,45.9,25.21,"100 - 500",0.38,0.62,"50 - 100",0.04,0.91,29390.4,30,8.3
"2","Адыгея","Февраль","Квартал 1",56,41.7,31.33,"100 - 500",0.31,0.69,"50 - 100",0.15,0.84,30006.3,30,8.3
"3","Адыгея","Март","Квартал 1",57,42.1,29.81,"100 - 500",0.33,0.67,"50 - 100",0.13,0.86,30894.6,30,8.3
"4","Адыгея","Апрель","Квартал 2",44.5,45.7,-42.44,"100 - 500",0.43,0.57,"50 - 100",0.1,0.88,30243.4,27,8.7
"5","Адыгея","Май","Квартал 2",55,44.7,-36.01,"100 - 500",0.47,0.53,"50 - 100",0.19,0.79,33031.8,27,8.7
"6","Адыгея","Июнь","Квартал 2",64,42.7,-7.27,"100 - 500",0.38,0.62,"50 - 100",0.23,0.74,33805,27,8.7
"7","Адыгея","Июль","Квартал 3",68,42.4,20.76,"100 - 500",0.41,0.59,"100 - 500",0.27,0.72,30411.8,33,8.4
"8","Адыгея","Август","Квартал 3",67,44.3,35.06,"100 - 500",0.4,0.6,"100 - 500",0.17,0.78,30435.7,33,8.4
"9","Адыгея","Сентябрь","Квартал 3",69,44.9,27.33,"100 - 500",0.39,0.61,"100 - 500",0.15,0.82,30791.2,33,8.4
"10","Адыгея","Октябрь","Квартал 4",70,45.4,-11.09,"100 - 500",0.39,0.61,"100 - 500",0.14,0.84,31598.8,33,8.4
"11","Адыгея","Ноябрь","Квартал 4",66,48.4,-21.47,"100 - 500",0.47,0.53,"100 - 500",0.16,0.82,31336.9,33,8.4
"12","Адыгея","Декабрь","Квартал 4",69,47.1,-28.81,"100 - 500",0.4,0.6,"100 - 500",0.12,0.85,39569.9,33,8.4
"13","Алтайский край","Январь","Квартал 1",64,54.1,15.75,"1 000 - 5 000",0.32,0.68,"100 - 500",0.18,0.79,26916.7,933,5.2
"14","Алтайский край","Февраль","Квартал 1",74,50.4,19.8,"1 000 - 5 000",0.3,0.7,"500 - 1 000",0.18,0.77,27038.5,933,5.2
"15","Алтайский край","Март","Квартал 1",74,51.5,14.19,"1 000 - 5 000",0.28,0.72,"500 - 1 000",0.2,0.76,28849,933,5.2
"16","Алтайский край","Апрель","Квартал 2",56.5,51.7,-3.49,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.18,0.8,28512.6,941,6
"17","Алтайский край","Май","Квартал 2",67,52.1,-28.94,"1 000 - 5 000",0.36,0.64,"500 - 1 000",0.41,0.58,29936,941,6
"18","Алтайский край","Июнь","Квартал 2",75,50.1,-3.32,"1 000 - 5 000",0.3,0.7,"> 1 000",0.42,0.56,30931.6,941,6
"19","Алтайский край","Июль","Квартал 3",76,49.8,3.7,"1 000 - 5 000",0.38,0.62,"> 1 000",0.36,0.61,29299.7,851,6
"20","Алтайский край","Август","Квартал 3",73,53.6,21.32,"1 000 - 5 000",0.36,0.64,"> 1 000",0.33,0.64,27924.1,851,6
"21","Алтайский край","Сентябрь","Квартал 3",76,51.9,17.05,"1 000 - 5 000",0.36,0.64,"> 1 000",0.26,0.69,28733.6,851,6
"22","Алтайский край","Октябрь","Квартал 4",73,53.7,-2.8,"1 000 - 5 000",0.41,0.59,"> 1 000",0.29,0.67,30207.9,986,6.3
"23","Алтайский край","Ноябрь","Квартал 4",65,55.1,-7.32,"1 000 - 5 000",0.39,0.61,"> 1 000",0.24,0.71,29647.8,986,6.3
"24","Алтайский край","Декабрь","Квартал 4",66,54.5,4.14,"1 000 - 5 000",0.4,0.6,"> 1 000",0.24,0.71,38723.8,986,6.3
"25","Амурская область","Январь","Квартал 1",69,54.3,-13.17,"500 - 1 000",0.35,0.65,"100 - 500",0.21,0.77,48298.1,360,5.1
"26","Амурская область","Февраль","Квартал 1",77,52.2,-14.21,"500 - 1 000",0.34,0.66,"100 - 500",0.21,0.75,47030.5,360,5.1
"27","Амурская область","Март","Квартал 1",76,53.9,-0.24,"500 - 1 000",0.29,0.71,"100 - 500",0.11,0.87,50195.2,360,5.1
"28","Амурская область","Апрель","Квартал 2",63.5,53.3,-42,"500 - 1 000",0.41,0.59,"100 - 500",0.08,0.9,49991,390,6.2
"29","Амурская область","Май","Квартал 2",68,55.2,-42.87,"500 - 1 000",0.42,0.58,"100 - 500",0.23,0.76,52377.9,390,6.2
"30","Амурская область","Июнь","Квартал 2",76,52.9,-30.45,"500 - 1 000",0.36,0.64,"100 - 500",0.15,0.79,52071.7,390,6.2
"31","Амурская область","Июль","Квартал 3",80,53.3,-11.8,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.14,0.83,52225.8,405,6.4
"32","Амурская область","Август","Квартал 3",76,55.7,5.75,"1 000 - 5 000",0.46,0.54,"100 - 500",0.12,0.83,50248.4,405,6.4
"33","Амурская область","Сентябрь","Квартал 3",78,54.7,16.07,"1 000 - 5 000",0.47,0.53,"500 - 1 000",0.18,0.78,51134.8,405,6.4
"34","Амурская область","Октябрь","Квартал 4",77,55,-5.28,"1 000 - 5 000",0.49,0.51,"500 - 1 000",0.16,0.8,51978.1,434,6.2
"35","Амурская область","Ноябрь","Квартал 4",67,56.3,-6.94,"500 - 1 000",0.5,0.5,"500 - 1 000",0.13,0.84,51851.6,434,6.2
"36","Амурская область","Декабрь","Квартал 4",73,55.6,-1.39,"500 - 1 000",0.49,0.51,"500 - 1 000",0.14,0.81,72191.3,434,6.2
"37","Архангельская область","Январь","Квартал 1",59,61.4,7.7,"1 000 - 5 000",0.33,0.67,"100 - 500",0.25,0.73,48127.4,2295,6.1
"38","Архангельская область","Февраль","Квартал 1",64,58.2,12.68,"1 000 - 5 000",0.32,0.68,"500 - 1 000",0.21,0.78,49442,2295,6.1
"39","Архангельская область","Март","Квартал 1",64,60,13.74,"1 000 - 5 000",0.34,0.66,"500 - 1 000",0.24,0.75,49970.7,2295,6.1
"40","Архангельская область","Апрель","Квартал 2",46,60.9,-49.61,"500 - 1 000",0.46,0.54,"500 - 1 000",0.17,0.81,49737.9,2282,7.8
"41","Архангельская область","Май","Квартал 2",53,62,-48.15,"1 000 - 5 000",0.44,0.56,"500 - 1 000",0.39,0.6,55301.3,2282,7.8
"42","Архангельская область","Июнь","Квартал 2",61,60.3,-21.38,"1 000 - 5 000",0.39,0.61,"500 - 1 000",0.31,0.68,55745.8,2282,7.8
"43","Архангельская область","Июль","Квартал 3",61,59.5,-17.66,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.3,0.69,51939.6,2484,8
"44","Архангельская область","Август","Квартал 3",60,61,3.92,"1 000 - 5 000",0.4,0.6,"500 - 1 000",0.31,0.67,48763.7,2484,8
"45","Архангельская область","Сентябрь","Квартал 3",64,60.5,-1.43,"1 000 - 5 000",0.39,0.61,"> 1 000",0.29,0.68,50333.7,2484,8
"46","Архангельская область","Октябрь","Квартал 4",65,61.7,-22.09,"1 000 - 5 000",0.4,0.6,"> 1 000",0.28,0.7,51116,2624,7.5
"47","Архангельская область","Ноябрь","Квартал 4",65,63.7,-32,"1 000 - 5 000",0.4,0.6,"> 1 000",0.25,0.72,49516.6,2624,7.5
"48","Архангельская область","Декабрь","Квартал 4",68,62.3,-30.85,"1 000 - 5 000",0.42,0.58,"> 1 000",0.24,0.74,63216.5,2624,7.5
"49","Астраханская область","Январь","Квартал 1",61,50.1,16.43,"500 - 1 000",0.25,0.75,"100 - 500",0.08,0.89,35833.6,708,7.3
"50","Астраханская область","Февраль","Квартал 1",67,45.9,40.65,"500 - 1 000",0.2,0.8,"100 - 500",0.06,0.9,37087.1,708,7.3
"51","Астраханская область","Март","Квартал 1",66,46.8,21.29,"500 - 1 000",0.23,0.77,"100 - 500",0.09,0.88,37723.6,708,7.3
"52","Астраханская область","Апрель","Квартал 2",45,48.6,-67.45,"100 - 500",0.55,0.45,"100 - 500",0.05,0.94,35800.4,745,7.9
"53","Астраханская область","Май","Квартал 2",55,48,-59.94,"500 - 1 000",0.42,0.58,"100 - 500",0.23,0.76,43019.5,745,7.9
"54","Астраханская область","Июнь","Квартал 2",70,46,7.96,"500 - 1 000",0.31,0.69,"100 - 500",0.15,0.81,40067.4,745,7.9
"55","Астраханская область","Июль","Квартал 3",74,45.6,25.66,"500 - 1 000",0.34,0.66,"100 - 500",0.19,0.78,38407.7,766,7.9
"56","Астраханская область","Август","Квартал 3",70,47.8,34.96,"1 000 - 5 000",0.35,0.65,"100 - 500",0.14,0.84,38413.2,766,7.9
